Species,qAddress,Latitude,Longitude
Shamel Ash: Evergreen Ash,1155X Webster St,37.7814821,-122.4307207
Shamel Ash: Evergreen Ash,403 Clayton St,37.77145045,-122.4489983
Honey Locust 'Shademaster',10 Arkansas St,37.76617199,-122.3989214
Shamel Ash: Evergreen Ash,80 Hudson Ave,37.732587,-122.3794006
Spruce Spp,2460 Lyon St,37.79358618,-122.4464921
Shamel Ash: Evergreen Ash,163 Lyon St,37.77232286,-122.4424183
Shamel Ash: Evergreen Ash,1200 San Bruno Ave,37.75351029,-122.4045202
Japanese Privet,235 Ottawa Ave,37.71663375,-122.4476363
Shamel Ash: Evergreen Ash,1310 Indiana St,37.75389584,-122.3911621
Edible Loquat,70 Waltham St,37.74368059,-122.4105582
Edible Loquat,1565 Bacon St,37.72379804,-122.4180336
Japanese Privet,1040 Greenwich St,37.80145378,-122.4168925
